complaint_id,complaint_text,category,submitted_via,created_date,cleaned_text
101891,<p>Matchmaking is unfair and places me with very high-level players no!! response from support</p>,Product Issue,Email,14-09-2024,matchmaking unfair place high level player response support
101892,Someone else accessed my GAME-ON account please resolve!! asap,Account Management,Email,18-09-2024,someone else access game account please resolve asap
101893,Customer support is not responding to my tickets no response from support,Other,Phone,19-07-2024,customer support respond ticket response support
101894,Very<br>disappointed with the overall GAME-ON experience no response from support,Other,Website,11-05-2024,disappointed overall game experience response support
101895,<i>I was charged twice for an in-game purchase no response from support</i>,Billing,Phone,29-08-2024,charge twice game purchase response support
101896,<p>High ping and severe lag while playing online matches no response from support</p>,Technical Support,Chat,07-03-2024,high ping severe lag play online match response support
101897,<p>Unexpected<br>charges appeared on my GAME-ON account need! urgent help</p>,Billing,Email,10-01-2024,unexpected charge appear game account need urgent help
101898,Billing amount is higher than what was? shown in the app need urgent help,Billing,Phone,05-06-2024,billing amount high show app need urgent help
101899,<p>Unable to connect to... GAME-ON servers no response from support</p>,Technical Support,Phone,07-06-2024,unable connect game server response support
101900,<b>Subscription<br>payment succeeded but premium features are locked!! no response from support</b>,Billing,Email,04-06-2024,subscription payment succeed premium feature lock response support
101901,<b>Very disappointed with the overall GAME-ON experience need urgent help</b>,Other,Email,29-09-2024,disappointed overall game experience need urgent help
101902,<p>Unable to link my social media account. to GAME-ON need urgent help</p>,Account Management,Email,01-04-2024,unable link social medium account game need urgent help
101903,Matchmaking<br>is unfair and places me with very high-level players need urgent help,Product Issue,Phone,30-03-2024,matchmaking unfair place high level player need urgent help
101904,My<br>account was banned without any explanation please resolve asap,Account Management,Email,23-10-2024,account ban without explanation please resolve asap
101905,Billing amount is higher than what was shown in the app this is unacceptable,Billing,Chat,03-02-2024,billing amount high show app unacceptable
101906,Billing amount is higher? than what was shown in the app happening for the last 3 days,Billing,Email,20-04-2024,billing amount high show app happen last day
101907,<i>Someone else accessed my GAME-ON account happening for? the last 3 days</i>,Account Management,Website,06-10-2024,someone else access game account happen last day
101908,<p>I<br>want to give feedback about the game need. urgent help</p>,Other,Phone,01-05-2024,want give feedback game need urgent help
101909,Password reset. email is not arriving please resolve asap,Account Management,Website,30-06-2024,password reset email arrive please resolve asap
101910,Unable to link my social media account to GAME-ON please resolve asap,Account Management,Email,01-03-2024,unable link social medium account game please resolve asap
101911,<p>I was charged twice for an in-game purchase need urgent help</p>,Billing,Website,08-03-2024,charge twice game purchase need urgent help
101912,<b>Subscription<br>payment succeeded but premium! features are locked happening for the last 3 days</b>,Billing,Email,30-04-2024,subscription payment succeed premium feature lock happen last day
101913,Lost<br>access to my account after recent?? update need urgent help,Account Management,Website,29-08-2024,lose access account recent update need urgent help
101914,<p>Matchmaking is unfair and places me with very high-level players need urgent. help</p>,Product Issue,Website,23-06-2024,matchmaking unfair place high level player need urgent help
101915,GAME-ON crashes! every time I try to start a match happening for the last 3 days,Technical Support,Email,02-08-2024,game crash every time try start match happen last day
101916,Subscription<br>payment succeeded but premium features are locked please resolve asap,Billing,Email,26-05-2024,subscription payment succeed premium feature lock please resolve asap
101917,GAME-ON keeps showing network error despite stable... internet please resolve asap,Technical Support,Email,15-01-2024,game keep show network error despite stable internet please resolve asap
101918,I was charged twice for an in-game purchase this is unacceptable,Billing,Phone,03-09-2024,charge twice game purchase unacceptable
101919,Refund for cancelled purchase has not been? received need urgent help,Billing,Website,16-07-2024,refund cancel purchase receive need urgent help
101920,<b>The app experience has worsened after recent updates happening for the last... 3 days</b>,Other,Chat,02-02-2024,app experience worsen recent update happen last day
101921,<i>Very disappointed with the overall! GAME-ON experience no response from support</i>,Other,Email,12-04-2024,disappointed overall game experience response support
101922,"<i>The game freezes during gameplay and I lose progress, need urgent help</i>",Technical Support,Email,26-01-2024,game freeze gameplay lose progress need urgent help
101923,Purchased<br>skins are not showing in my inventory happening for the last 3!! days,Product Issue,Phone,17-07-2024,purchase skin show inventory happen last day
101924,<b>Poor service and lack of proper support please!! resolve asap</b>,Other,Chat,18-05-2024,poor service lack proper support please resolve asap
101925,<p>In-game<br>rewards are not credited after completing missions please resolve? asap</p>,Product Issue,Email,18-08-2024,game reward credit complete mission please resolve asap
101926,"<i>Password reset email is not arriving no response, from support</i>",Account Management,Email,24-03-2024,password reset email arrive response support
101927,"The<br>app experience, has worsened after recent updates this is unacceptable",Other,Website,16-08-2024,app experience worsen recent update unacceptable
101928,Unexpected charges appeared on my GAME-ON account no response from support,Billing,Website,02-07-2024,unexpected charge appear game account response support
101929,<i>Voice chat is not working during multiplayer games happening?? for the last 3 days</i>,Technical Support,Phone,30-09-2024,voice chat work multiplayer game happen last day
101930,Very<br>disappointed with the overall GAME-ON experience need urgent help,Other,Email,13-05-2024,disappointed overall game experience need urgent help
101931,<i>Daily challenges are missing in## GAME-ON this is unacceptable</i>,Product Issue,Website,18-04-2024,daily challenge miss game unacceptable
101932,Unable to log in to my!! GAME-ON account please resolve asap,Account Management,Chat,07-04-2024,unable log game account please resolve asap
101933,My<br>account was## banned without any explanation this is unacceptable,Account Management,Website,21-08-2024,account ban without explanation unacceptable
101934,<i>Customer<br>support is not responding to my tickets? please resolve asap</i>,Other,Website,16-10-2024,customer support respond ticket please resolve asap
101935,GAME-ON crashes every time I try to start a match happening for the last 3 days,Technical Support,Website,22-05-2024,game crash every time try start match happen last day
101936,<p>High<br>ping and severe lag while playing online matches no response from support</p>,Technical Support,Website,12-04-2024,high ping severe lag play online match response support
101937,Very disappointed with the overall!! GAME-ON experience this is unacceptable,Other,Chat,08-02-2024,disappointed overall game experience unacceptable
101938,Unable to connect to GAME-ON servers happening for... the last 3 days,Technical Support,Chat,29-05-2024,unable connect game server happen last day
101939,"<b>Payment failed but amount, was deducted from my bank this is unacceptable</b>",Billing,Chat,24-03-2024,payment fail amount deduct bank unacceptable
101940,High ping and severe lag while playing online matches. need urgent help,Technical Support,Email,21-07-2024,high ping severe lag play online match need urgent help
101941,<i>Refund for cancelled purchase has not been received! please resolve asap</i>,Billing,Website,04-09-2024,refund cancel purchase receive please resolve asap
101942,<p>Password<br>reset email is?? not arriving this is unacceptable</p>,Account Management,Phone,27-09-2024,password reset email arrive unacceptable
101943,"Money was deducted but game coins were not credited, please resolve asap",Billing,Chat,18-10-2024,money deduct game coin credit please resolve asap
101944,<i>High ping and severe?? lag while playing online matches this is unacceptable</i>,Technical Support,Email,14-10-2024,high ping severe lag play online match unacceptable
101945,Unable to connect to GAME-ON servers no## response from support,Technical Support,Phone,19-07-2024,unable connect game server response support
101946,I<br>was charged twice for an in-game purchase happening for the last 3 days,Billing,Website,11-10-2024,charge twice game purchase happen last day
101947,Unable to link my social media account to GAME-ON please?? resolve asap,Account Management,Phone,03-01-2024,unable link social medium account game please resolve asap
101948,"<i>Unable to connect to GAME-ON servers need, urgent help</i>",Technical Support,Phone,08-10-2024,unable connect game server need urgent help
101949,Password<br>reset email is not arriving happening for the last 3!! days,Account Management,Website,13-01-2024,password reset email arrive happen last day
101950,The<br>game freezes during gameplay and I lose progress no response from support,Technical Support,Chat,24-01-2024,game freeze gameplay lose progress response support
101951,The app experience has worsened after recent updates please resolve asap,Other,Email,02-01-2024,app experience worsen recent update please resolve asap
101952,<b>Unable to log. in to my GAME-ON account need urgent help</b>,Account Management,Email,17-01-2024,unable log game account need urgent help
101953,<i>Someone else accessed my GAME-ON account happening for! the last 3 days</i>,Account Management,Phone,13-09-2024,someone else access game account happen last day
101954,Poor service and? lack of proper support this is unacceptable,Other,Email,04-04-2024,poor service lack proper support unacceptable
101955,Lost access to my account after recent update no response from support,Account Management,Phone,28-05-2024,lose access account recent update response support
101956,In-game rewards are not credited after? completing missions this is unacceptable,Product Issue,Website,17-08-2024,game reward credit complete mission unacceptable
101957,<b>Very<br>disappointed with the overall GAME-ON experience no response... from support</b>,Other,Website,23-06-2024,disappointed overall game experience response support
101958,<i>I<br>want!! to give feedback about the game please resolve asap</i>,Other,Website,09-02-2024,want give feedback game please resolve asap
101959,Payment<br>failed but amount was deducted from my bank happening! for the last 3 days,Billing,Website,07-02-2024,payment fail amount deduct bank happen last day
101960,<p>Game<br>updates fail to!! install properly need urgent help</p>,Technical Support,Phone,09-09-2024,game update fail install properly need urgent help
101961,"<b>Daily challenges are missing in GAME-ON, no response from support</b>",Product Issue,Website,12-10-2024,daily challenge miss game response support
101962,<i>Purchased skins are not... showing in my inventory this is unacceptable</i>,Product Issue,Phone,07-05-2024,purchase skin show inventory unacceptable
101963,Purchased skins are not showing in my inventory happening for the last?? 3 days,Product Issue,Chat,30-09-2024,purchase skin show inventory happen last day
101964,<i>Achievements are not unlocking! as expected please resolve asap</i>,Product Issue,Chat,04-10-2024,achievement unlock expect please resolve asap
101965,<i>Purchased skins are not showing in my! inventory happening for the last 3 days</i>,Product Issue,Chat,13-03-2024,purchase skin show inventory happen last day
101966,Unable to link my social media account to GAME-ON need urgent help,Account Management,Email,25-01-2024,unable link social medium account game need urgent help
101967,Payment failed but amount was deducted from!! my bank this is unacceptable,Billing,Website,28-06-2024,payment fail amount deduct bank unacceptable
101968,<b>I want to!! give feedback about the game need urgent help</b>,Other,Website,26-07-2024,want give feedback game need urgent help
101969,"<p>Progress<br>is not saved after finishing levels happening for the last 3, days</p>",Product Issue,Chat,16-05-2024,progress save finish level happen last day
101970,"Someone<br>else accessed my GAME-ON, account happening for the last 3 days",Account Management,Phone,21-08-2024,someone else access game account happen last day
101971,<i>The<br>app experience has worsened after recent updates happening for the last 3 days</i>,Other,Website,18-05-2024,app experience worsen recent update happen last day
101972,Need<br>clarification about GAME-ON policies this is unacceptable,Other,Chat,06-10-2024,need clarification game policy unacceptable
101973,<i>Subscription payment? succeeded but premium features are locked please resolve asap</i>,Billing,Website,28-01-2024,subscription payment succeed premium feature lock please resolve asap
101974,<b>The app## experience has worsened after recent updates this is unacceptable</b>,Other,Email,06-04-2024,app experience worsen recent update unacceptable
101975,GAME-ON crashes every time I try to start a match happening for the last 3 days,Technical Support,Email,09-03-2024,game crash every time try start match happen last day
101976,Someone else accessed my GAME-ON account this is unacceptable,Account Management,Website,08-04-2024,someone else access game account unacceptable
101977,Unable to connect to?? GAME-ON servers this is unacceptable,Technical Support,Email,03-05-2024,unable connect game server unacceptable
101978,Game characters are unbalanced and unfair no response? from support,Product Issue,Chat,28-04-2024,game character unbalanced unfair response support
101979,Daily challenges are missing in GAME-ON please resolve asap,Product Issue,Website,25-07-2024,daily challenge miss game please resolve asap
101980,<p>Payment failed but amount was deducted. from my bank need urgent help</p>,Billing,Chat,14-06-2024,payment fail amount deduct bank need urgent help
101981,Lost<br>access to my account after recent?? update please resolve asap,Account Management,Chat,18-05-2024,lose access account recent update please resolve asap
101982,Poor<br>service and lack of proper support this is unacceptable,Other,Phone,04-09-2024,poor service lack proper support unacceptable
101983,High ping! and severe lag while playing online matches no response from support,Technical Support,Phone,30-08-2024,high ping severe lag play online match response support
101984,I was charged twice for an in-game purchase please## resolve asap,Billing,Chat,30-08-2024,charge twice game purchase please resolve asap
101985,<b>Need clarification?? about GAME-ON policies no response from support</b>,Other,Website,19-05-2024,need clarification game policy response support
101986,<b>Money was deducted but game coins were not credited please resolve asap</b>,Billing,Phone,13-09-2024,money deduct game coin credit please resolve asap
101987,Achievements are not unlocking as expected this is unacceptable,Product Issue,Email,15-02-2024,achievement unlock expect unacceptable
101988,<p>Someone else accessed my GAME-ON account happening for the last 3 days</p>,Account Management,Phone,29-08-2024,someone else access game account happen last day
101989,Game updates fail to install!! properly need urgent help,Technical Support,Email,25-04-2024,game update fail install properly need urgent help
101990,Game<br>characters are unbalanced and unfair no response## from support,Product Issue,Website,25-08-2024,game character unbalanced unfair response support
101991,<b>Game updates fail to install properly need urgent help</b>,Technical Support,Email,04-06-2024,game update fail install properly need urgent help
101992,<i>Unable<br>to link my social media... account to GAME-ON need urgent help</i>,Account Management,Email,27-02-2024,unable link social medium account game need urgent help
101993,The app experience has worsened after recent updates need urgent help,Other,Email,02-01-2024,app experience worsen recent update need urgent help
101994,<p>Achievements are not unlocking as!! expected need urgent help</p>,Product Issue,Email,01-01-2024,achievement unlock expect need urgent help
101995,High<br>ping and severe lag while playing online matches no response from support,Technical Support,Website,17-09-2024,high ping severe lag play online match response support
101996,Need clarification about GAME-ON policies this is! unacceptable,Other,Phone,05-09-2024,need clarification game policy unacceptable
101997,Matchmaking is unfair and places. me with very high-level players no response from support,Product Issue,Chat,26-04-2024,matchmaking unfair place high level player response support
101998,Voice chat is not working! during multiplayer games need urgent help,Technical Support,Phone,30-04-2024,voice chat work multiplayer game need urgent help
101999,Unable<br>to link my social media account to! GAME-ON please resolve asap,Account Management,Website,22-10-2024,unable link social medium account game please resolve asap
102000,<i>Achievements<br>are not unlocking as expected?? please resolve asap</i>,Product Issue,Website,22-04-2024,achievement unlock expect please resolve asap
102001,<i>In-game rewards are not!! credited after completing missions please resolve asap</i>,Product Issue,Website,26-04-2024,game reward credit complete mission please resolve asap
102002,Progress is not saved after finishing levels this is unacceptable,Product Issue,Website,27-01-2024,progress save finish level unacceptable
102003,"Game advertisements are, too frequent and annoying this is unacceptable",Other,Email,10-05-2024,game advertisement frequent annoying unacceptable
102004,<b>Someone else accessed my GAME-ON! account please resolve asap</b>,Account Management,Website,12-04-2024,someone else access game account please resolve asap
102005,<b>I was charged twice for an in-game purchase!! need urgent help</b>,Billing,Phone,15-08-2024,charge twice game purchase need urgent help
102006,Unable to link my... social media account to GAME-ON please resolve asap,Account Management,Email,01-03-2024,unable link social medium account game please resolve asap
102007,<p>My account!! was banned without any explanation this is unacceptable</p>,Account Management,Phone,05-07-2024,account ban without explanation unacceptable
102008,<p>The app experience has worsened after recent updates happening... for the last 3 days</p>,Other,Chat,03-07-2024,app experience worsen recent update happen last day
102009,Money was deducted but game coins were not credited this is unacceptable,Billing,Chat,24-03-2024,money deduct game coin credit unacceptable
102010,<b>Purchased<br>skins are not showing in my inventory please resolve?? asap</b>,Product Issue,Website,13-04-2024,purchase skin show inventory please resolve asap
102011,Game<br>updates fail to install properly no? response from support,Technical Support,Website,11-08-2024,game update fail install properly response support
102012,Matchmaking is unfair and places me with very high-level## players please resolve asap,Product Issue,Chat,16-08-2024,matchmaking unfair place high level player please resolve asap
102013,I<br>want to give feedback about the game need urgent... help,Other,Website,31-08-2024,want give feedback game need urgent help
102014,Game characters are unbalanced? and unfair this is unacceptable,Product Issue,Phone,04-04-2024,game character unbalanced unfair unacceptable
102015,GAME-ON crashes every time I try to start a match!! this is unacceptable,Technical Support,Website,17-03-2024,game crash every time try start match unacceptable
102016,Poor service and lack of?? proper support this is unacceptable,Other,Chat,05-06-2024,poor service lack proper support unacceptable
102017,<i>Someone else accessed my GAME-ON account this is! unacceptable</i>,Account Management,Phone,24-05-2024,someone else access game account unacceptable
102018,<p>Poor service and lack of proper support happening for... the last 3 days</p>,Other,Phone,04-03-2024,poor service lack proper support happen last day
102019,GAME-ON crashes every time I try to start a match please resolve asap,Technical Support,Chat,11-06-2024,game crash every time try start match please resolve asap
102020,Account<br>progress. disappeared after logging in this is unacceptable,Account Management,Email,26-08-2024,account progress disappear log unacceptable
102021,"GAME-ON crashes every time, I try to start a match need urgent help",Technical Support,Chat,22-05-2024,game crash every time try start match need urgent help
102022,<i>Money<br>was deducted but game coins were not credited this is unacceptable</i>,Billing,Phone,20-01-2024,money deduct game coin credit unacceptable
102023,<i>GAME-ON keeps showing? network error despite stable internet need urgent help</i>,Technical Support,Website,28-09-2024,game keep show network error despite stable internet need urgent help
102024,GAME-ON<br>keeps?? showing network error despite stable internet this is unacceptable,Technical Support,Website,08-01-2024,game keep show network error despite stable internet unacceptable
102025,<b>Purchased<br>skins are not showing in my inventory? no response from support</b>,Product Issue,Email,28-08-2024,purchase skin show inventory response support
102026,<b>GAME-ON crashes every time I try to start!! a match no response from support</b>,Technical Support,Phone,14-10-2024,game crash every time try start match response support
102027,Payment failed but amount was?? deducted from my bank please resolve asap,Billing,Phone,10-10-2024,payment fail amount deduct bank please resolve asap
102028,Voice chat is not working during multiplayer games please resolve? asap,Technical Support,Chat,05-04-2024,voice chat work multiplayer game please resolve asap
102029,Unexpected charges appeared on my GAME-ON account this is unacceptable,Billing,Website,15-01-2024,unexpected charge appear game account unacceptable
102030,<i>The game freezes during gameplay!! and I lose progress this is unacceptable</i>,Technical Support,Website,21-03-2024,game freeze gameplay lose progress unacceptable
102031,Subscription payment. succeeded but premium features are locked need urgent help,Billing,Email,04-01-2024,subscription payment succeed premium feature lock need urgent help
102032,Unable to link my social. media account to GAME-ON happening for the last 3 days,Account Management,Email,05-09-2024,unable link social medium account game happen last day
102033,Billing amount is higher than what?? was shown in the app happening for the last 3 days,Billing,Email,04-02-2024,billing amount high show app happen last day
102034,<b>Game<br>updates fail to install properly no response from support</b>,Technical Support,Phone,03-09-2024,game update fail install properly response support
102035,Progress is not saved after finishing levels please## resolve asap,Product Issue,Website,15-07-2024,progress save finish level please resolve asap
102036,GAME-ON keeps showing network error despite stable internet this is unacceptable,Technical Support,Website,24-03-2024,game keep show network error despite stable internet unacceptable
102037,Subscription payment succeeded but premium features are locked this. is unacceptable,Billing,Website,11-04-2024,subscription payment succeed premium feature lock unacceptable
102038,<p>Very disappointed with the overall GAME-ON experience please resolve asap</p>,Other,Phone,26-01-2024,disappointed overall game experience please resolve asap
102039,<b>Daily challenges are missing in GAME-ON this! is unacceptable</b>,Product Issue,Chat,16-06-2024,daily challenge miss game unacceptable
102040,<b>Need<br>clarification about GAME-ON policies please resolve asap</b>,Other,Website,15-04-2024,need clarification game policy please resolve asap
102041,My<br>account was banned without any explanation... happening for the last 3 days,Account Management,Phone,04-05-2024,account ban without explanation happen last day
102042,<i>Game updates fail to install properly happening for the last 3 days</i>,Technical Support,Email,16-04-2024,game update fail install properly happen last day
102043,Unable to log in to my GAME-ON account. no response from support,Account Management,Email,28-01-2024,unable log game account response support
102044,Achievements<br>are not? unlocking as expected need urgent help,Product Issue,Website,20-02-2024,achievement unlock expect need urgent help
102045,<b>Billing amount is higher than what was shown in the app please?? resolve asap</b>,Billing,Chat,28-06-2024,billing amount high show app please resolve asap
102046,The game freezes during gameplay! and I lose progress please resolve asap,Technical Support,Website,02-01-2024,game freeze gameplay lose progress please resolve asap
102047,High ping and severe lag while playing online matches please resolve asap,Technical Support,Phone,15-02-2024,high ping severe lag play online match please resolve asap
102048,Game advertisements are too frequent and annoying need urgent help,Other,Website,30-05-2024,game advertisement frequent annoying need urgent help
102049,Refund<br>for## cancelled purchase has not been received happening for the last 3 days,Billing,Phone,15-05-2024,refund cancel purchase receive happen last day
102050,The app experience has worsened after recent updates please resolve asap,Other,Email,30-09-2024,app experience worsen recent update please resolve asap
102051,I<br>want to give feedback about the game happening for the... last 3 days,Other,Phone,07-06-2024,want give feedback game happen last day
102052,Purchased<br>skins are not showing in my inventory! please resolve asap,Product Issue,Website,11-06-2024,purchase skin show inventory please resolve asap
102053,<p>Game characters are unbalanced and unfair happening for the last 3 days</p>,Product Issue,Chat,27-07-2024,game character unbalanced unfair happen last day
102054,GAME-ON<br>crashes every time I try to## start a match please resolve asap,Technical Support,Chat,15-02-2024,game crash every time try start match please resolve asap
102055,Unable to link my social media account to GAME-ON happening for the last 3!! days,Account Management,Chat,23-04-2024,unable link social medium account game happen last day
102056,Progress is not saved after. finishing levels need urgent help,Product Issue,Chat,02-03-2024,progress save finishing level need urgent help
102057,<p>Customer support is not responding to my tickets no response from support</p>,Other,Chat,21-01-2024,customer support respond ticket response support
102058,<i>Password reset email is not arriving please resolve. asap</i>,Account Management,Phone,03-04-2024,password reset email arrive please resolve asap
102059,<p>Unable to log in to my GAME-ON account no response from support</p>,Account Management,Email,25-06-2024,unable log game account response support
102060,<i>Very disappointed!! with the overall GAME-ON experience no response from support</i>,Other,Chat,13-09-2024,disappointed overall game experience response support
102061,<i>I want to give feedback about the game need!! urgent help</i>,Other,Website,18-09-2024,want give feedback game need urgent help
102062,<p>Subscription<br>payment succeeded but premium features are locked please resolve asap</p>,Billing,Website,03-10-2024,subscription payment succeed premium feature lock please resolve asap
102063,I was charged twice for an in-game purchase no response from support,Billing,Email,18-07-2024,charge twice game purchase response support
102064,Game advertisements are too frequent and. annoying this is unacceptable,Other,Email,11-07-2024,game advertisement frequent annoying unacceptable
102065,Account progress disappeared after! logging in this is unacceptable,Account Management,Phone,28-03-2024,account progress disappear log unacceptable
102066,<b>Account progress disappeared after logging in happening for the last? 3 days</b>,Account Management,Chat,09-07-2024,account progress disappear log happen last day
102067,<i>Billing amount is higher than what was shown in the app this is unacceptable</i>,Billing,Email,08-08-2024,billing amount high show app unacceptable
102068,<b>Lost access to my account after recent!! update happening for the last 3 days</b>,Account Management,Email,16-04-2024,lose access account recent update happen last day
102069,<i>High<br>ping and severe lag while playing online matches happening for the last 3 days</i>,Technical Support,Email,01-01-2024,high ping severe lag play online match happen last day
102070,<b>Achievements are not unlocking... as expected no response from support</b>,Product Issue,Email,10-08-2024,achievement unlock expect response support
102071,<b>Game updates fail to?? install properly please resolve asap</b>,Technical Support,Email,12-03-2024,game update fail install properly please resolve asap
102072,<b>Unable to connect to GAME-ON servers no response from support</b>,Technical Support,Phone,14-08-2024,unable connect game server response support
102073,<i>I<br>want to give feedback about the game this is unacceptable</i>,Other,Phone,25-01-2024,want give feedback game unacceptable
102074,Voice chat is not working during multiplayer games happening for the last 3 days,Technical Support,Phone,28-09-2024,voice chat work multiplayer game happen last day
102075,Someone else accessed my? GAME-ON account this is unacceptable,Account Management,Website,13-06-2024,someone else access game account unacceptable
102076,Poor service and lack of proper support no response from support,Other,Chat,20-09-2024,poor service lack proper support response support
102077,GAME-ON keeps showing network error despite stable internet no. response from support,Technical Support,Website,27-05-2024,game keep show network error despite stable internet response support
102078,<b>Subscription payment succeeded but premium features are. locked this is unacceptable</b>,Billing,Chat,22-10-2024,subscription payment succeed premium feature lock unacceptable
102079,Need<br>clarification about GAME-ON policies this is? unacceptable,Other,Email,03-05-2024,need clarification game policy unacceptable
102080,Game advertisements are too frequent and annoying please resolve asap,Other,Chat,25-08-2024,game advertisement frequent annoying please resolve asap
102081,Billing amount is higher than what was shown in the app need urgent help,Billing,Phone,20-05-2024,billing amount high show app need urgent help
102082,Game<br>updates fail to install properly this is unacceptable,Technical Support,Phone,24-04-2024,game update fail install properly unacceptable
102083,<i>Unexpected charges... appeared on my GAME-ON account happening for the last 3 days</i>,Billing,Email,05-04-2024,unexpected charge appear game account happen last day
102084,"GAME-ON<br>crashes every time I try to start a match no response from, support",Technical Support,Email,07-09-2024,game crash every time try start match response support
102085,Unable to link my social media account to GAME-ON no response from support,Account Management,Chat,13-09-2024,unable link social medium account game response support
102086,<b>Achievements are## not unlocking as expected this is unacceptable</b>,Product Issue,Website,30-05-2024,achievement unlock expect unacceptable
102087,Very disappointed with the overall GAME-ON experience!! need urgent help,Other,Chat,26-04-2024,disappointed overall game experience need urgent help
102088,Game characters are unbalanced and unfair please... resolve asap,Product Issue,Email,20-05-2024,game character unbalanced unfair please resolve asap
102089,<p>Payment failed but amount was deducted from my bank this... is unacceptable</p>,Billing,Phone,08-04-2024,payment fail amount deduct bank unacceptable
102090,<b>In-game rewards are not credited after completing missions please resolve asap</b>,Product Issue,Chat,16-03-2024,game reward credit complete mission please resolve asap
102091,I was charged twice for an in-game purchase need urgent help,Billing,Website,21-02-2024,charge twice game purchase need urgent help
102092,"<b>My<br>account was banned, without any explanation need urgent help</b>",Account Management,Chat,28-07-2024,account ban without explanation need urgent help
102093,Password reset email is not arriving please resolve asap,Account Management,Website,04-10-2024,password reset email arrive please resolve asap
102094,Achievements are not... unlocking as expected happening for the last 3 days,Product Issue,Email,01-09-2024,achievement unlock expect happen last day
102095,<p>Billing<br>amount is higher than what was shown in. the app no response from support</p>,Billing,Website,25-09-2024,billing amount high show app response support
102096,<b>Poor service and lack!! of proper support need urgent help</b>,Other,Chat,11-04-2024,poor service lack proper support need urgent help
102097,The app experience has worsened. after recent updates happening for the last 3 days,Other,Website,27-02-2024,app experience worsen recent update happen last day
102098,<b>Account progress disappeared after logging in need urgent help</b>,Account Management,Chat,08-06-2024,account progress disappear log need urgent help
102099,"Unable to log in to my GAME-ON account happening for, the last 3 days",Account Management,Email,14-08-2024,unable log game account happen last day
102100,Game advertisements are too frequent and annoying need. urgent help,Other,Website,23-08-2024,game advertisement frequent annoying need urgent help
102101,<b>Someone else accessed my GAME-ON account## happening for the last 3 days</b>,Account Management,Website,05-07-2024,someone else access game account happen last day
102102,<p>The app! experience has worsened after recent updates need urgent help</p>,Other,Chat,03-09-2024,app experience worsen recent update need urgent help
102103,<i>Account<br>progress disappeared after logging in happening for the last 3 days</i>,Account Management,Phone,05-03-2024,account progress disappear log happen last day
102104,<p>The game freezes during gameplay and I lose?? progress happening for the last 3 days</p>,Technical Support,Website,20-01-2024,game freeze gameplay lose progress happen last day
102105,<i>Game updates fail to install properly happening! for the last 3 days</i>,Technical Support,Email,05-10-2024,game update fail install properly happen last day
102106,Password reset email is not arriving no response from support,Account Management,Phone,21-05-2024,password reset email arrive response support
102107,Customer support is not... responding to my tickets this is unacceptable,Other,Email,16-05-2024,customer support respond ticket unacceptable
102108,The app experience has worsened after recent updates no response from support,Other,Email,22-10-2024,app experience worsen recent update response support
102109,Achievements<br>are not unlocking as expected happening for the last 3 days,Product Issue,Phone,21-10-2024,achievement unlock expect happen last day
102110,<i>Refund for cancelled purchase has not been received this is unacceptable</i>,Billing,Phone,18-10-2024,refund cancel purchase receive unacceptable
102111,<p>Progress is not saved after finishing levels need urgent help</p>,Product Issue,Website,04-06-2024,progress save finish level need urgent help
102112,Game characters are. unbalanced and unfair happening for the last 3 days,Product Issue,Email,22-07-2024,game character unbalanced unfair happen last day
102113,Lost access to my account after recent update need urgent. help,Account Management,Chat,31-05-2024,lose access account recent update need urgent help
102114,<b>Account<br>progress disappeared after logging in happening for the last. 3 days</b>,Account Management,Email,07-05-2024,account progress disappear log happen last day
102115,Unable<br>to log in## to my GAME-ON account happening for the last 3 days,Account Management,Website,06-03-2024,unable log game account happen last day
102116,<i>I<br>was charged twice for an in-game purchase need urgent!! help</i>,Billing,Email,08-07-2024,charge twice game purchase need urgent help
102117,<i>Achievements are not unlocking? as expected please resolve asap</i>,Product Issue,Chat,17-05-2024,achievement unlock expect please resolve asap
102118,<b>Unable to link my social media account to GAME-ON this is unacceptable</b>,Account Management,Email,25-09-2024,unable link social medium account game unacceptable
102119,<b>Very<br>disappointed with the overall## GAME-ON experience this is unacceptable</b>,Other,Phone,07-03-2024,disappointed overall game experience unacceptable
102120,Account progress disappeared after logging in please resolve asap,Account Management,Email,10-09-2024,account progress disappear log please resolve asap
102121,<p>Lost access to my account after recent update please resolve asap</p>,Account Management,Chat,23-03-2024,lose access account recent update please resolve asap
102122,The game freezes during gameplay and I lose progress!! happening for the last 3 days,Technical Support,Phone,06-07-2024,game freeze gameplay lose progress happen last day
102123,<b>Password reset email is not arriving no response?? from support</b>,Account Management,Chat,04-03-2024,password reset email arrive response support
102124,The app experience has worsened after recent updates happening for the last## 3 days,Other,Website,25-10-2024,app experience worsen recent update happen last day
102125,Unable to connect to GAME-ON servers happening for! the last 3 days,Technical Support,Phone,24-04-2024,unable connect game server happen last day
102126,Very disappointed with the overall GAME-ON experience no response from!! support,Other,Email,08-04-2024,disappointed overall game experience response support
102127,<i>Unable to link my social media account? to GAME-ON please resolve asap</i>,Account Management,Website,24-06-2024,unable link social medium account game please resolve asap
102128,Game characters are unbalanced and? unfair no response from support,Product Issue,Chat,01-06-2024,game character unbalanced unfair response support
102129,<i>Unable<br>to connect. to GAME-ON servers please resolve asap</i>,Technical Support,Website,09-02-2024,unable connect game server please resolve asap
